So, Brian, Ill talk about the first part ||| Neutral
They play different roles ||| Neutral
And during the fourth quarter, we distributed over $500 million to shareholders via the dividend, and we paid $300 million for share repurchases ||| earnings Positive Confident
And Martina will be able to help you with that ||| Neutral
So I think we're fortunate to do well ||| Neutral
Good morning, Dave ||| Neutral
Starting with fiscal 2016 EPS of $8.59, we are extremely pleased that we were able to deliver currency neutral EPS growth of 13.2% while overcoming notable headwinds ||| earnings Positive Confident
Good question ||| Neutral
Youre absolutely right ||| Neutral
Jan, I think that  sorry ||| Neutral
First, establishing a leadership team with diverse skills and experience early on is critical ||| Positive Confident
We also made a number of strategic additions to strengthen our portfolio in key growth areas ||| sales Positive Confident
And they're all growing huge double digits ||| Neutral
And then they'll publish upon the rates in the fourth quarter for that beginning of January 2018. So as you think through this, the two-month delay in data reporting clearly is putting pressure on the schedule and that's why people are saying, 'Okay even that they still have the goal, it's impossible that they can get there ||| products_services Negative Confident
More broadly, we think it's all about innovation ||| Neutral
Thank you, Wamsi, for the question ||| Neutral
We would expect that we continue to ramp that revenue through the second half of the year ||| sales Positive Confident
Hey, good morning, Tim ||| Neutral
And, Kelly, any comments on the ||| Neutral
And so my caution for the back half was more that we're going to continue to make investments, and should you continue to see a top line moderation in Media, and again we don't know whether that's going to be the case ||| sales,organic_expansion Negative Uncertain
Turning to Consulting; on an as-reported basis, first quarter Consulting revenues were flat year-on-year and increased by 2% on an FX-neutral basis, coming off a very strong Q1 last year ||| sales Positive Confident
Our investments in GPU compute and Radeon Instinct are continuing to build momentum ||| organic_expansion Neutral
Overall, 2016 was a year that had its economic and regulatory challenges, but I think we've navigated those successfully while putting significant points on the board as a result of our investments in digital, in safety and security, in data analytics, loyalty and processing ||| organic_expansion Neutral Uncertain
Marilyn, I'll turn it back over to you ||| Neutral
We saw strong growth across all four, leading to a 26% increase in revenue ||| sales Positive Confident
was largely around not enough specialists in the field and frankly we need more scale in our storage sales here and combining Nimble and 3PAR under Keegan Riley, I think is going to really help here ||| sales Neutral Uncertain
You're right that Q4 seasonally our strongest quarter from a revenues perspective each year and that normally occurs ||| sales Positive Confident
Were seeing a lot more people paying off the loans ||| Neutral
And so, I think, I have nothing negative to say about any of the other companies, we are all striving to be a good providers in a market that right now is doing very well and so weve had the benefits of making a number of investments over the years that are paying off particularly well right now ||| organic_expansion Neutral Uncertain
As to outlook, we're reaffirming our 2017 Kidney Care adjusted operating income guidance of $1.525 billion to $1.625 billion ||| products_services Positive Confident
And so we're going to be very focused on ensuring that we lead with the product message ||| products_services Neutral
I think that's true ||| Neutral
As we mentioned before, we see, in the normal seasonality of the business, the revenue growth rate to accelerate through the second half of the year, and this is consistent despite the fact that we've had a strong first half and it reflects our continued momentum ||| sales Positive Confident
The fact is that even at 8% or 10%, core payment transaction growth of 8% or 10% is attractive ||| sales Positive Confident
And this is distinctly Kroger ||| products_services Neutral Confident
Long term, we're looking to market expansion, with potential new indications such as negative symptoms, bipolar depression, and schizophrenia maintenance ||| organic_expansion Positive Confident
I believe we've worked around a lot of that ||| Neutral
Non-GAAP operating expenses were $517 million, up 17% from a year ago, reflecting hiring for our growth initiative ||| sales,op_costs Positive Confident
Net income was up 48% year over year ||| Neutral
I appreciate if you could turn to slide 4. We continue to see broad based strength in orders across our segments as well as balanced order growth across regions which reinforces expectations for a higher growth versus our prior view ||| sales Positive Confident
Thanks, Dave, and good afternoon everyone ||| Neutral
Its going to be in container architecture ||| Neutral
So it's a long time for brands to be announced that they would have been sold, but to still be in the hands of their previous owners ||| products_services Neutral Confident
Next, I think across every service the momentum weve seen in Q4 and in particular, I would say, I think not many people focus on it, but even things like Windows E5, advanced threat protection services, those types of deployments really will add to momentum in our offerings ||| products_services Neutral Uncertain
While APAC contributed 15% of revenue, reflecting year-over-year growth of 16% ||| sales Positive Confident
Question-and-Answer Session ||| Neutral
Don't ask questions again, man ||| Neutral
In the Medicare business, our core gross margin performance was in line with expectations ||| earnings Positive Confident
These proceeds offset much of the yen-related decline in display's earnings ||| earnings Negative
I'm going to hand over to Agnes ||| Neutral Confident
Our trillions of content and data assets, along with our deep category expertise in the markets we serve, give Adobe Sensei a unique ability to help customers tackle complex experience challenges ||| Neutral
Yes ||| Neutral
Let me give you a quick summary of our capital deployment activities so far this year ||| Neutral
And we learned through the rollout  our innovative SKIPPY PB bites items, that once you get past Halloween, there are some seasonality, downturn in the confectionary business ||| products_services Negative Confident
And we're still on the very early innings ||| Neutral
Those investments are probably going to extend beyond 2017. And so I think the interim model for the company, not the long-term model, I think, the interim model for the company is going to be the high 30s ||| organic_expansion Neutral Uncertain
So we havent kind of past so ||| Neutral
The Q3 effective tax rate was 29.9% ||| Neutral
Yeah ||| Neutral
Income taxes ||| op_costs Neutral
And the magic to me is the fact that we did placed more systems in 2017 than we did in 2016. And it's too early to fully predict an attach rate, but we think it will be very high ||| products_services Positive Uncertain
Second, our commercial business, we expect our commercial cloud services to continue to drive annuity growth as we expand our install base, grow consumption, and execute well on renewals ||| products_services Positive Confident
But this is a big strategic initiative within the company ||| Neutral
Yes, I'll  good morning, Garen, I'll start and Steve can jump in ||| Positive Confident
Turning to slide 18, for 2017, we are reiterating our organic revenue growth rates and revising consolidated and segment revenue dollar ranges due to the divestiture ||| sales,organic_expansion Positive Confident
, where we are seeing increasing pressure from government payers as part of austerity measures ||| Neutral
Turning to the balance sheet ||| Neutral
Across our platform, each of our business segments benefits from the overall improvement in the market ||| sales Positive
We think off of this new base we start to go to more normal growth rates again ||| sales Neutral Uncertain
They have to get into the field ||| Neutral
But, clearly, our new business bookings have fallen a little bit behind, but relative to a three- or four-year cycle of new business bookings, we still feel good about our growth opportunities ||| sales Neutral Uncertain
We want to continue to monitor the results throughout the spring season ||| Neutral
These products provide an experiential fragrance while cleaning the home, and while still early, Clorox Scentiva is off to a strong start ||| products_services Positive Confident
revenue from continuing operations of $7.4 billion was down 5% adjusted for divestitures and currency driven by declines in software and tier 1 server sales ||| sales Negative
Our GAAP tax rate for the quarter was 22.2% ||| Neutral
But we're starting to see some turnaround ||| Neutral Confident
We delivered a strong second quarter despite a more challenging business environment that included softer industry sales in the U.S ||| sales Positive
I will now provide a quick recap of our results ||| Neutral
So the value proposition we are delivering remains strong ||| products_services Positive Confident
In our Compute and Networking Business Unit, we saw robust growth in Q4 revenue and profitability compared with the prior year ||| sales,earnings Positive Confident
Thank you, Kevin ||| Neutral
We have maintained our 7% to 10% growth target and have focused on driving our operating costs down in order to drive bottom line and cash flow ||| earnings Positive
It was a means to an end that they have ||| Neutral
And OptumInsights revenue backlog grew 19% or $2.1 billion in the past 12 months with more than $1.5 billion added in the first quarter ||| earnings Negative Confident
For 2017 overall, we expect full-year sales to be consistent to up slightly from 2016. We expect continued sales growth in the auto market and lower heavy duty volume ||| sales Positive Confident
We obviously bring our scale to partners and when you talk to different platforms whether it'd be Baidu or Google or Samsung, the ability to tap into 17 million merchants we have that long tail of merchants, that's a very difficult asset for others to replicate and it's accelerating in its growth ||| sales Positive Confident
I feel good about what we can control ||| Neutral
Question-and-Answer Session ||| Neutral
EBITDA margin expanded 220 basis points to 31.2%, and adjusted earnings per share grew 18.6% to $3.82 per share ||| sales,earnings Positive Confident
I'll start off with that ||| Neutral
BrandLoyalty's fourth quarter is looking good, with revenue and adjusted EBITDA expected to increase double digits year-over-year ||| sales,earnings Positive Confident
So net-net all around, David, we're feeling very good about it ||| Positive Confident
Geoff, I don't know if you want to add anything? ||| Neutral
The OEMs launch their desktop products in about mid-June, and so they just started selling at the end of June ||| products_services Neutral
Thank you, Alex ||| Neutral
So the full year guide is low double-digit revenue growth, 2017 to 2016. I think, given our product portfolio being very much influenced by the PC  the Ryzen and PCs, Vega for GPUs as well as Naples from a server standpoint, we expect that the Computing and Graphics segment will be  will grow more so than the EESC segment overall on a year-over-year basis, just given some of the consumer markets move faster than some of the data center and server markets ||| sales,products_services Neutral Uncertain
Hi, Kulbinder, it's Rami ||| Neutral
Breaking this out by business, sales in Fluid Systems were $607 million, up 6% operationally ||| earnings Positive Confident
The expansion and growing adoption of our Ryzen CPUs, combined with our sixth consecutive quarter of double-digit year-over-year Graphics revenue growth, resulted in a 51% increase in Computing and Graphics segment sales year-over-year ||| sales Neutral
So Ill focus my comments on the operational dynamics of our expenses ||| Neutral
We had a quarter any CEO would be proud of ||| Neutral
as well has a good opening backlog ||| Neutral
Personal electronics was 26%, down 4 points ||| Neutral
For the quarter, total taxes included in our GAAP earnings were $34 million based on a Q4 effective tax rate of 27% ||| earnings Neutral
In terms of the product refresh, I think I caught the question, but if I didnt, Andy, excuse me, will correct me ||| products_services Neutral Uncertain
Thank you, Meta ||| Neutral
And as we talked about the loss of or the postponement push of some closings from fourth quarter into 2018 and some directly related to homes to sell that have to repaired and ultimately brought on line, those homes will get repaired ||| Neutral
We started to design ships with more spacious public areas, better outfitting and more amenities onboard ||| products_services Positive
That, in turn, causes slightly higher operating costs per lower berth, but obviously the bottom line impact is very positive ||| earnings Neutral
I do think that what you're going to see in 2017, and I said for the foreseeable future, because I think you're going to hear in 2017, you're going to hear about new product adjacencies that we are going to enter ||| products_services Neutral Uncertain
Turning to cash flow, our cash from operations was approximately $801 million ||| earnings Neutral Confident
So, I ask you to keep that in mind when you think about how realistic the 15% to 20% is ||| earnings Positive Confident
Wed like to work to photo booths into that and then we go and we choose certain other markets to go back and put the booths in ||| Neutral
Through the investments we've already made and plan to make through the balance of the year to drive accelerated growth in CEB's contract value, we continue to expect modest net synergy flow-through in 2017. We continue to work the cost synergy side of the equation and we'll report back on our progress in subsequent quarters ||| sales,op_costs,organic_expansion Positive Confident
and $459 million was held by our international entities ||| earnings Positive Confident
Of course, we have incumbent products too ||| products_services Positive Confident
So, it's about $200 million increase ||| Neutral
International represented 35% of total revenue, and reflected higher declines in Europe that were partially offset by growth in developing markets as we saw a turn there and overall improvement off a weak Q1 2016. The remaining 5% of our revenues are in other, which includes our OEM business, sales of Fuji Xerox and licensing ||| sales Negative
So just as just as with profits, we think most of the cost increase for the full year has happened in the quarter closer to the full year ||| earnings Neutral
These are algorithms ||| Neutral
Excluding the impact of the Accenture Post Trade Processing or APTP recontracted from a year ago, which I will discuss in my comments on the GTO segment results, internal growth would have been neutral, and organic recurring fee revenue growth was at 5% ||| sales,organic_expansion Positive Confident
But we have had times where we've had even bigger differential between worksite employee growth and our pass-through revenue growth ||| sales Positive Confident
These GAAP results include depreciation, amortization of intangible assets, stock-based compensation, acquisition-related charges and other non-recurring items ||| acquisitions Neutral
Just a couple of comments ||| Neutral
Yes ||| Neutral
I think the easiest answer is no ||| Neutral Uncertain
On a year-over-year basis, revenue increased 92%, primarily due to a stronger DRAM pricing environment, increased bit volumes in both DRAM and NAND and our focus on higher value-add solutions to improve our product mix ||| sales,products_services Positive Confident
On the positive side, as discussed in our last quarterly call, we benefited from four extra selling days between Christmas and New Year's, which we estimate contributed roughly half our growth for the quarter ||| earnings Positive Confident
The other thing Id add to that Toni is this strategy to pivot to the value in the growth segments of our portfolio is absolutely critical because, just a mix shift of a couple of percent actually increases the operating margin ||| sales,earnings Positive Confident
I think you'll hear more about that tomorrow ||| Neutral
So even a problem like the power in Puerto Rico brings some of the manpower from the power companies locally to other areas and impairs their ability to get back up running here in south Florida ||| Neutral
Return on invested capital for 2016 was 13.09% ||| earnings Neutral Confident
Overall, adjusted EPS of $0.87, which reflects the one-for-four reverse stock split was down $0.11 from the second quarter of 2016, driven by the higher tax rate and lower equity income as cost and expense declines including lower interest expense roughly offset the impact of lower revenues ||| sales,op_costs Negative
We've sharpened our focus on reducing leakage and on providing our customers with the tools they need to realize the greatest business benefit of buying within their Prime Vendor Agreement ||| earnings Positive Confident
So that's why we're so focused on it ||| Neutral
So, were seeing that whether it's in financial services, whether we are seeing retail, travel hospitality, automotive, its a key part of our differentiator and one that we will continue to innovate in ||| products_services Positive Confident
Ryan, on the containers? ||| Neutral
We achieved strong Q1 TubeMogul revenue, and we are hard at work integrating TubeMogul with our current Adobe Media Optimizer solution ||| sales Positive Confident
It was a big launch for us ||| Neutral
Well, in general, I think we're in a phase of the industry around us and ourselves that tends to be strong and when we give you directions on growth rates of the different areas, we always look at it from a perspective of a multi-year outlook because that's sort of the only fair way to do it, all the more given that we have a multi-year agreement ||| sales Neutral Uncertain
