Excluding Airwave, Managed and Support Services, grew 8% ||| products_services Positive Confident
25.5% feels good for the year ||| Neutral
During the quarter we won the majority of tenders and booked more than $20 million ||| earnings Positive Confident
Non-GAAP operating profit of 7.8% was down 130 basis points year-over-year and down 270 basis points sequentially ||| earnings Negative
continued to weigh heavily on the U.S ||| Neutral
Economic growth in Mexico has been solid, driven by consumer spending ||| sales Positive Confident
I will certainly to cash flow from operations ||| earnings Positive Confident
It is now evolving very, very rapidly ||| Neutral
But I do think it will be an additional growth driver for the company ||| sales Neutral Uncertain
And we're part of all of those conversations ||| Neutral
For the fourth quarter of 2017, we expect revenue to decrease approximately 15% sequentially, plus or minus 3% ||| sales Neutral
Our improved operational capabilities are supporting this growth, while capturing significant savings ||| sales Positive
We are expecting organic growth for the year in sensors and continue to expect a further growth inflection as we go into 2018 as further auto applications ramp the volume ||| sales,organic_expansion Positive Confident
It's with anything else, yeah, we certainly do expect it to be imminent and if it came out either today or tomorrow, neither of those would be a surprise ||| Neutral Dodgy
If I looked at use cases for Einstein, overall, I would tell you that this is really bringing insight to action across sales and service and marketing and commerce, if you think about opportunity insights or account insights, predictability scoring, et cetera, et cetera ||| products_services Neutral Uncertain
We're sort of in the low to mid-single digits for the full-year with the first half of the year up more meaningfully than the second half of the year ||| sales Neutral
We drove strong financial services momentum as well, again, in the industry with 5 of the top 15 banks in Europe this quarter including Banco Santander and BCC, again, all running their business on salesforce ||| products_services Positive Confident
And as I mentioned, we're bending multiyear curves now and were seeing now really nice year-over-year growth in our core experiences ||| sales Positive Confident
They were our priorities when we spoke several quarters ago, they are priorities today ||| Neutral
I think the impact of that large loss was around 100 basis points last year ||| earnings Neutral Uncertain
We are tracking  as you look at the percentage of our appliance sales that are represented by iSeries, we're actually tracking to prior growth cycles or prior product cycles ||| sales,products_services Positive Confident
The other quick comment I would make Adam, that gives us incremental confidence is, as I've alluded to sort of last year, we are in production with hybrid technology, we're in production with electric vehicle technology ||| products_services Positive Confident
Server products and cloud services revenue increased 15%, up 16% in constant currency, demonstrating durable double-digit growth ||| sales,products_services Positive Confident
Thank you ||| Neutral
From a Claris standpoint, we expect roughly $0.05 of accretion in 2020, a little bit north of that ||| Neutral Confident
to Mexico business increased, although growth trends were not as good as the very strong results we delivered in the fourth quarter ||| sales Positive Confident
So that's what I would think of on ASC 606. ||| Neutral
There was also some improvement frankly in the overall market and in all  or easy compares in Q3 than they were in Q1 and Q2. But I also have to say the portfolio that we have worked hard to create that we have pivoted over the last couple of years, that is in faster growing more profitable areas in the markets is starting to kick in and you can see that in High Performance Compute, you can see it in synergies momentum that is not only, the actual product of Synergy, but its actually accelerating the core blade business ||| earnings,products_services Positive Confident
This quarter we also absorbed a headwind of roughly 50 basis points from discontinued products, mainly a cystic fibrosis test in molecular diagnostics ||| earnings Neutral Confident
, 10 all-new or recently redesigned crossovers are expected to drive sales and market share higher this year ||| sales Positive
All of this positions us beautifully for long-term success ||| sales Positive Confident
As I mentioned in the prepared remarks, we saw the volume of customer applications being strongest at the highest and lowest ends ||| sales Positive
What we do know is we've got secular tailwinds ||| Neutral
So, demand continues to be strong ||| Neutral
We have data to show that ||| Neutral Confident
Lastly Conversant Agency was down 28% compared to the first quarter of 2016. This offering has been a consistent drag now for about nine quarters, but its now reaching a level where at less than 5% of Epsilons revenue, it appears to be stabilizing ||| sales Negative
Thank you, Steve ||| Neutral
Gross margin also improved driven largely by the success of our recently launched Ryzen CPUs ||| sales,earnings Neutral
We have 30 already in the market ||| Neutral
The first half backlog was very strong, and this amount is flowing through in our increased guidance ||| sales Positive
We are pursuing several new fronts to accelerate these efforts, which we expect will generate incremental savings going forward, a portion of which we intend to redeploy back into the businesses to drive innovation and growth ||| Positive Confident
Is there a complementary technology to one that we already own that can benefit by being  by leveraging our distribution channels, listen Aruba has accelerated its growth rate under HP, because we can introduce the Aruba product line to customers ||| products_services Positive Confident
Well, the platform strategy has evolved over time ||| Neutral
If we exclude Spillman and Interexport, managed and support services grew 4% in the quarter ||| products_services Positive Confident
I'll wrap it up with Slide 21, in summary we're encouraged by our return to growth and the performance of our innovation ||| sales Positive Confident
We now expect organic growth for D&D in fiscal 2017 in the low single-digits and momentum in SubCom remains strong ||| sales,organic_expansion Positive Confident
In Industrial Solutions, organic growth of 5% was driven by strength in factory automation and medical applications ||| sales,organic_expansion Positive Confident
Yeah ||| Neutral
G&A, clearly, we're looking for areas to cut costs, where we are not going to be impacting future revenue growth, and G&A is one of those areas ||| sales,op_costs Positive Confident
I think, total, they're in the mid-teens sort of level of market share ||| Neutral Confident
When multiple myeloma relapses, don't put your patient's survival at risk ||| products_services Negative Confident
And we've got some just great leaders in that business that are talent magnets, so filling those spots ||| Neutral Confident
Nope ||| Neutral
The fourth driver is revenue per return which has been stronger than our multiyear average of 1% ||| sales Positive Confident
And with that, I will turn it over to Tim ||| Neutral
Across all of lung cancer, nearly one in three new lung cancer patients in the U.S ||| Negative Confident
New business growth for traditional Gartner Research remained strong, up 14% year-on-year in Q2. The new business mix is consistent with prior quarters and remains balanced between new clients and sales of additional services and upgrades to existing clients ||| sales,products_services Positive Confident
